,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1009,91600260,28383255221,0.011
1,2025-12-31,Blackrock Inc.,0.08229999,74743552,23160035927,0.0061000003
2,2025-12-31,State Street Corporation,0.0498,45232170,14015639533,0.0254
3,2025-12-31,Capital World Investors,0.0249,22591042,7000059943,0.0379
4,2025-12-31,"Geode Capital Management, LLC",0.024,21791590,6752341758,0.00029999999
5,2025-12-31,Price (T.Rowe) Associates Inc,0.0207,18829054,5834370396,0.0375
6,2025-12-31,Capital International Investors,0.020599999,18655111,5780472421,0.066
7,2025-12-31,JPMORGAN CHASE & CO,0.0189,17199093,5329310705,-0.53650004
8,2025-12-31,Morgan Stanley,0.0174,15790095,4892718605,0.0363
9,2025-12-31,"Wellington Management Group, LLP",0.0173,15688774,4861323281,-0.050100002
