,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.031400003,18633804,4580934307,-0.0011999999
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0252,14958382,3677368576,0.0224
2,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,7632965,1876488087,-0.0093
3,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0127,7548718,1855776805,0.0017
4,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,6976372,1715071266,-0.020399999
5,2026-01-31,WASHINGTON MUTUAL INVESTORS FUND,0.0112,6629843,1629880578,0.0
6,2025-12-31,AMERICAN BALANCED FUND,0.0095,5608950,1378904247,2.0153
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0092,5458713,1341969983,0.025
8,2026-01-31,Income Fund of America,0.007900001,4679923,1150512253,0.2717
9,2025-11-30,MFS SERIES TRUST I-MFS Value Fund,0.0069,4078076,1002554188,-0.025
