,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0312,23245299,2247515836,0.0043
1,2025-11-30,SCHWAB STRATEGIC TRUST-Schwab US Dividend Equity ETF,0.028299998,21045359,2034810463,0.0095
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025,18636466,1801902073,0.026199998
3,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128,9509525,919446466,-0.0094
4,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0126,9404567,909298403,0.0017
5,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117,8691791,840382303,-0.0185
6,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Value Index Fund,0.0091,6800590,657527946,0.0286
7,2026-02-28,Fidelity Rutland Square TRT II-Strategic Advisers Fidelity U.S. Total ,0.0064,4801233,464216321,0.3033
8,2026-02-28,SELECT SECTOR SPDR TRT-State Street Industrial Select Sector SPDR ETF,0.0058,4291180,414900879,0.0622
9,2025-12-31,VANGUARD INSTITUTIONAL INDEX FUNDS-Vanguard Institutional Index Fund,0.0057,4240645,410014807,-0.0117
