,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.14819999,158457308,4419374223,0.0109
1,2025-12-31,Blackrock Inc.,0.1183,126429883,3526129359,0.0988
2,2025-12-31,State Street Corporation,0.059499998,63619919,1774359502,0.0173
3,2025-12-31,"Geode Capital Management, LLC",0.0339,36209246,1009875848,0.0295
4,2025-12-31,Allianz Asset Management GmbH,0.028299998,30292364,844854013,0.082399994
5,2025-12-31,Bank of America Corporation,0.0255,27214434,759010547,0.0403
6,2025-12-31,Capital Research Global Investors,0.0251,26852486,748915818,-0.47709998
7,2025-12-31,JPMORGAN CHASE & CO,0.0199,21243193,592472639,-0.5463
8,2025-12-31,NORGES BANK,0.0179,19120754,533277817,0.2801
9,2025-12-31,Price (T.Rowe) Associates Inc,0.0178,19005214,530055406,-0.066199996
