,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1309,17071654,4729104482,-0.007900001
1,2025-12-31,State Farm Mutual Automobile Insurance Co,0.0732,9554660,2646784279,0.0
2,2025-12-31,Blackrock Inc.,0.0718,9373138,2596499960,0.026800001
3,2025-12-31,"Principal Financial Group, Inc.",0.0555,7237306,2004842427,-0.0509
4,2025-12-31,JPMORGAN CHASE & CO,0.0543,7085485,1962785731,-0.5529
5,2025-12-31,State Street Corporation,0.042,5472987,1516099573,-0.0027
6,2025-12-31,"FMR, LLC",0.0342,4464350,1236691980,1.6308
7,2025-12-31,"Geode Capital Management, LLC",0.0274,3576172,990653338,0.009
8,2025-12-31,"ClearBridge Investments, LLC",0.0176,2300183,637185227,-0.0058
9,2025-12-31,Bank of America Corporation,0.0175,2285526,633125018,-0.014199999
