,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1238,11352312,3198513906,-0.008
1,2025-12-31,Blackrock Inc.,0.1043,9561431,2693933184,-0.019199999
2,2025-12-31,"Berkshire Hathaway, Inc",0.098000005,8989880,2532898690,0.0
3,2025-12-31,State Street Corporation,0.0465,4264565,1201541188,0.0025
4,2025-12-31,"AQR Capital Management, LLC",0.0438,4020169,1132682615,0.141
5,2025-12-31,"Renaissance Technologies, LLC",0.030299999,2779351,783082144,-0.1233
6,2025-12-31,"Geode Capital Management, LLC",0.026400002,2420750,682046312,-0.0119
7,2025-12-31,Morgan Stanley,0.023,2110944,594758472,-0.0696
8,2025-12-31,Ninety One UK Ltd,0.0226,2070523,583369855,-0.5094
9,2025-12-31,Invesco Ltd.,0.0163,1491035,420099111,0.1984
