,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.1187,138179864,1836410387,-0.0149
1,2025-12-31,Blackrock Inc.,0.0746,86824817,1153901814,0.0594
2,2025-12-31,Price (T.Rowe) Associates Inc,0.0679,79079870,1050971469,-0.059299998
3,2025-12-31,Davis Selected Advisers,0.0671,78177984,1038985404,0.1274
4,2025-12-31,State Street Corporation,0.0475,55310153,735071931,-0.0070999996
5,2025-12-31,Dimensional Fund Advisors LP,0.0344,40026301,531949538,0.071100004
6,2025-12-31,"Geode Capital Management, LLC",0.026700001,31106924,413411018,0.0398
7,2025-12-31,"Ameriprise Financial, Inc.",0.0231,26845389,356775218,-0.035099998
8,2025-12-31,Rubric Capital Management LP,0.0219,25500000,338894999,0.6575
9,2025-12-31,Invesco Ltd.,0.02,23326114,310004054,-0.078200005
