,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,19676000000.0,18922000000.0,12912000000.0,10401000000.0,
Repayment Of Debt,-19789000000.0,-20344000000.0,-10624000000.0,-13564000000.0,
Issuance Of Debt,27606000000.0,15568000000.0,8612000000.0,17806000000.0,
Capital Expenditure,-17461000000.0,-17990000000.0,-24563000000.0,-26740000000.0,
Interest Paid Supplemental Data,5772000000.0,5505000000.0,4384000000.0,3316000000.0,
Income Tax Paid Supplemental Data,3581000000.0,5632000000.0,2343000000.0,2736000000.0,
End Cash Position,19499000000.0,4635000000.0,3497000000.0,4111000000.0,
Beginning Cash Position,4635000000.0,3497000000.0,4111000000.0,4161000000.0,
Changes In Cash,14864000000.0,1138000000.0,-614000000.0,-50000000.0,
Financing Cash Flow,-5613000000.0,-17100000000.0,-14657000000.0,-8529000000.0,
Cash Flow From Continuing Financing Activities,-5613000000.0,-17100000000.0,-14657000000.0,-8529000000.0,
Net Other Financing Charges,-1949000000.0,-1075000000.0,-1620000000.0,-2072000000.0,
Cash Dividends Paid,-11481000000.0,-11249000000.0,-11025000000.0,-10805000000.0,
Common Stock Dividend Paid,-11481000000.0,-11249000000.0,-11025000000.0,-10805000000.0,
Net Issuance Payments Of Debt,7817000000.0,-4776000000.0,-2012000000.0,4348000000.0,
Net Short Term Debt Issuance,,0.0,-150000000.0,106000000.0,0.0
Short Term Debt Payments,,,-150000000.0,,
Short Term Debt Issuance,,0.0,,106000000.0,0.0
Net Long Term Debt Issuance,7817000000.0,-4776000000.0,-2012000000.0,4242000000.0,
Long Term Debt Payments,-19789000000.0,-20344000000.0,-10624000000.0,-13564000000.0,
Long Term Debt Issuance,27606000000.0,15568000000.0,8612000000.0,17806000000.0,
Investing Cash Flow,-16660000000.0,-18674000000.0,-23432000000.0,-28662000000.0,
Cash Flow From Continuing Investing Activities,-16660000000.0,-18674000000.0,-23432000000.0,-28662000000.0,
Net Other Investing Changes,801000000.0,-684000000.0,1161000000.0,62000000.0,
Net Investment Purchase And Sale,,-712000000.0,880000000.0,-2265000000.0,-21000000.0
Purchase Of Investment,,,,-2265000000.0,-21000000.0
Net Business Purchase And Sale,0.0,0.0,-30000000.0,281000000.0,
Sale Of Business,,0.0,0.0,281000000.0,4122000000.0
Purchase Of Business,0.0,0.0,-30000000.0,,-4065000000.0
Net Intangibles Purchase And Sale,-450000000.0,-900000000.0,-5796000000.0,-3653000000.0,
Purchase Of Intangibles,-450000000.0,-900000000.0,-5796000000.0,-3653000000.0,
Capital Expenditure Reported,-17011000000.0,-17090000000.0,-18767000000.0,-23087000000.0,
Operating Cash Flow,37137000000.0,36912000000.0,37475000000.0,37141000000.0,
Cash Flow From Continuing Operating Activities,37137000000.0,36912000000.0,37475000000.0,37141000000.0,
Change In Working Capital,-2320000000.0,-2278000000.0,-267000000.0,-456000000.0,
Change In Payables And Accrued Expense,1819000000.0,1109000000.0,2079000000.0,-33000000.0,
Change In Payable,1819000000.0,1109000000.0,2079000000.0,-33000000.0,
Change In Account Payable,1819000000.0,1109000000.0,2079000000.0,-33000000.0,
Change In Prepaid Assets,-1394000000.0,-626000000.0,-435000000.0,928000000.0,
Change In Inventory,-232000000.0,-196000000.0,287000000.0,627000000.0,
Change In Receivables,-2513000000.0,-2565000000.0,-2198000000.0,-1978000000.0,
Changes In Account Receivables,-2513000000.0,-2565000000.0,-2198000000.0,-1978000000.0,
Other Non Cash Items,-2256000000.0,173000000.0,-3710000000.0,-3778000000.0,
Provisionand Write Offof Assets,2349000000.0,2338000000.0,2214000000.0,1611000000.0,
Asset Impairment Charge,0.0,0.0,5841000000.0,0.0,
Deferred Tax,2340000000.0,815000000.0,2388000000.0,2973000000.0,
Deferred Income Tax,2340000000.0,815000000.0,2388000000.0,2973000000.0,
Depreciation Amortization Depletion,18349000000.0,17892000000.0,17624000000.0,17099000000.0,
Depreciation And Amortization,18349000000.0,17892000000.0,17624000000.0,17099000000.0,
Amortization Cash Flow,2999000000.0,2781000000.0,2687000000.0,2507000000.0,
Amortization Of Intangibles,2999000000.0,2781000000.0,2687000000.0,2507000000.0,
Depreciation,15350000000.0,15112000000.0,14937000000.0,14592000000.0,
Operating Gains Losses,1067000000.0,23000000.0,1290000000.0,-2056000000.0,
Pension And Employee Benefit Expense,1025000000.0,-52000000.0,1206000000.0,-2046000000.0,
Earnings Losses From Equity Investments,42000000.0,75000000.0,84000000.0,-10000000.0,
Net Income From Continuing Operations,17608000000.0,17949000000.0,12095000000.0,21748000000.0,
