,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0315,5361649,1372153202,-0.0034
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.0253,4311074,1103290050,0.0221
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.0219,3721041,952288805,-0.016
3,2025-09-30,-Price (T.Rowe) U.S. Value Equity Trust,0.0184,3123076,799257604,0.031400003
4,2025-12-31,"T. Rowe Price Value Fund, Inc.",0.0149,2531861,647953862,0.0023
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.0128999995,2199923,563004290,-0.0094
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.0128,2175644,556790808,0.0017
7,2026-02-28,Fidelity Contrafund,0.0127,2163395,553656044,0.0
8,2026-02-28,Fidelity Magellan Fund,0.012200001,2068810,529449851,-0.0429
9,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0117999995,2008337,513973601,-0.0186
