,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3088000000.0,4427000000.0,6161000000.0,3317000000.0,
Repurchase Of Capital Stock,,,,0.0,0.0
Repayment Of Debt,-27094000000.0,-19388000000.0,-12206000000.0,-9710000000.0,
Issuance Of Debt,22534000000.0,15820000000.0,6703000000.0,2393000000.0,
Capital Expenditure,-1231000000.0,-948000000.0,-1316000000.0,-987000000.0,
Interest Paid Supplemental Data,2295000000.0,1996000000.0,2237000000.0,,
Income Tax Paid Supplemental Data,1926000000.0,1113000000.0,1440000000.0,,
End Cash Position,4570000000.0,5416000000.0,4319000000.0,3930000000.0,
Beginning Cash Position,5416000000.0,4319000000.0,3930000000.0,3905000000.0,
Effect Of Exchange Rate Changes,254000000.0,-180000000.0,8000000.0,-61000000.0,
Changes In Cash,-1100000000.0,1277000000.0,381000000.0,86000000.0,
Financing Cash Flow,-4240000000.0,-3749000000.0,-5837000000.0,-7742000000.0,
Cash Flow From Continuing Financing Activities,-4240000000.0,-3749000000.0,-5837000000.0,-7742000000.0,
Net Other Financing Charges,320000000.0,-181000000.0,-334000000.0,-425000000.0,
Net Common Stock Issuance,,,,0.0,0.0
Common Stock Payments,,,,0.0,0.0
Net Issuance Payments Of Debt,-4560000000.0,-3568000000.0,-5503000000.0,-7317000000.0,
Net Short Term Debt Issuance,0.0,0.0,-7000000.0,-2000000.0,
Short Term Debt Payments,-4228000000.0,-14203000000.0,-5214000000.0,-2395000000.0,
Short Term Debt Issuance,4228000000.0,14203000000.0,5207000000.0,2393000000.0,
Net Long Term Debt Issuance,-4560000000.0,-3568000000.0,-5496000000.0,-7315000000.0,
Long Term Debt Payments,-22866000000.0,-5185000000.0,-6992000000.0,-7315000000.0,
Long Term Debt Issuance,18306000000.0,1617000000.0,1496000000.0,0.0,
Investing Cash Flow,-1179000000.0,-349000000.0,-1259000000.0,3524000000.0,
Cash Flow From Continuing Investing Activities,-1179000000.0,-349000000.0,-1259000000.0,3524000000.0,
Net Other Investing Changes,72000000.0,31000000.0,98000000.0,9000000.0,
Net Investment Purchase And Sale,80000000.0,677000000.0,121000000.0,1058000000.0,
Sale Of Investment,80000000.0,677000000.0,121000000.0,1058000000.0,
Purchase Of Investment,,,0.0,0.0,-189000000.0
Net Business Purchase And Sale,-100000000.0,-109000000.0,-162000000.0,3444000000.0,
Sale Of Business,,,,3612000000.0,
Purchase Of Business,-100000000.0,-109000000.0,-162000000.0,-168000000.0,
Net PPE Purchase And Sale,-1231000000.0,-948000000.0,-1316000000.0,-987000000.0,
Purchase Of PPE,-1231000000.0,-948000000.0,-1316000000.0,-987000000.0,
Operating Cash Flow,4319000000.0,5375000000.0,7477000000.0,4304000000.0,
Cash Flow From Continuing Operating Activities,4319000000.0,5375000000.0,7477000000.0,4304000000.0,
Change In Working Capital,-11302000000.0,-12126000000.0,-11989000000.0,-10982000000.0,
Change In Other Working Capital,327000000.0,-260000000.0,824000000.0,-130000000.0,
Change In Payables And Accrued Expense,-11293000000.0,-12878000000.0,-13125000000.0,-11033000000.0,
Change In Payable,-11293000000.0,-12878000000.0,-13125000000.0,-11033000000.0,
Change In Account Payable,108000000.0,-529000000.0,-820000000.0,1529000000.0,
Change In Receivables,-336000000.0,1012000000.0,312000000.0,181000000.0,
Other Non Cash Items,69000000.0,280000000.0,314000000.0,4032000000.0,
Stock Based Compensation,769000000.0,557000000.0,500000000.0,412000000.0,
Asset Impairment Charge,172000000.0,9603000000.0,77000000.0,116000000.0,
Deferred Tax,-710000000.0,-1732000000.0,-2344000000.0,-2842000000.0,
Deferred Income Tax,-710000000.0,-1732000000.0,-2344000000.0,-2842000000.0,
Depreciation Amortization Depletion,17539000000.0,20983000000.0,24009000000.0,21354000000.0,
Depreciation And Amortization,17539000000.0,20983000000.0,24009000000.0,21354000000.0,
Amortization Cash Flow,11855000000.0,13946000000.0,16024000000.0,14161000000.0,
Amortization Of Intangibles,11855000000.0,13946000000.0,16024000000.0,14161000000.0,
Depreciation,5684000000.0,7037000000.0,7985000000.0,7193000000.0,
Operating Gains Losses,-2967000000.0,-708000000.0,-11000000.0,-489000000.0,
Earnings Losses From Equity Investments,75000000.0,167000000.0,157000000.0,211000000.0,
Gain Loss On Investment Securities,-97000000.0,-243000000.0,-151000000.0,-700000000.0,
Gain Loss On Sale Of PPE,,,,116000000.0,-71000000.0
Net Income From Continuing Operations,749000000.0,-11482000000.0,-3079000000.0,-7297000000.0,
