,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0319,6695313,864565800,-0.0201
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.026099999,5472658,706684354,0.0269
2,2026-01-31,"Invesco QQQ Trust, Series 1",0.0221,4640031,599167225,-0.0291
3,2026-01-31,VANGUARD WINDSOR FUNDS-Vanguard Windsor II Fund,0.020499999,4309652,556505383,0.3216
4,2026-01-31,First Eagle Funds-First Eagle Global Fund,0.0186,3907580,504585824,0.72830003
5,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013300001,2792419,360585079,-0.0094
6,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.013200001,2761600,356605421,0.0017
7,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Growth Index Fund,0.0121,2533643,327169332,-0.0762
8,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0121,2544219,328535011,-0.0185
9,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Mid-Cap Index Fund,0.011,2317612,299273248,1.0
