,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-49770000.0,59064000.0,156178000.0,167191.188041,
Tax Rate For Calcs,0.237,0.214,0.229,0.167191,
Normalized EBITDA,7624000000.0,6293000000.0,7030000000.0,5697000000.0,
Total Unusual Items,-210000000.0,276000000.0,682000000.0,1000000.0,
Total Unusual Items Excluding Goodwill,-210000000.0,276000000.0,682000000.0,1000000.0,
Net Income From Continuing Operation Net Minority Interest,2618000000.0,2225000000.0,3276000000.0,2049000000.0,
Reconciled Depreciation,2347000000.0,2219000000.0,2071000000.0,2009000000.0,
Reconciled Cost Of Revenue,4546000000.0,4337000000.0,4106000000.0,5466000000.0,
EBITDA,7414000000.0,6569000000.0,7712000000.0,5698000000.0,
EBIT,5067000000.0,4350000000.0,5641000000.0,3689000000.0,
Net Interest Income,-1402000000.0,-1297000000.0,-1157000000.0,-1132000000.0,
Interest Expense,1442000000.0,1364000000.0,1236000000.0,1147000000.0,
Interest Income,40000000.0,67000000.0,79000000.0,15000000.0,
Normalized Income,2778230000.0,2008064000.0,2750178000.0,2048167191.188041,
Net Income From Continuing And Discontinued Operation,2618000000.0,2225000000.0,3179000000.0,2049000000.0,
Total Expenses,7542000000.0,7164000000.0,6715000000.0,7947000000.0,
Total Operating Income As Reported,4196000000.0,3339000000.0,4311000000.0,3018000000.0,
Diluted Average Shares,1225000000.0,1222954000.0,1222715000.0,1222672000.0,
Basic Average Shares,1221000000.0,1219184000.0,1217784000.0,1218362000.0,
Diluted EPS,2.14,1.82,2.6,1.67,
Basic EPS,2.14,1.82,2.61,1.68,
Diluted NI Availto Com Stockholders,2615000000.0,2222000000.0,3176000000.0,2046000000.0,
Net Income Common Stockholders,2615000000.0,2222000000.0,3176000000.0,2046000000.0,
Preferred Stock Dividends,3000000.0,3000000.0,3000000.0,3000000.0,
Net Income,2618000000.0,2225000000.0,3179000000.0,2049000000.0,
Minority Interests,-150000000.0,-121000000.0,-124000000.0,-68000000.0,
Net Income Including Noncontrolling Interests,2768000000.0,2346000000.0,3303000000.0,2117000000.0,
Net Income Discontinuous Operations,0.0,0.0,-97000000.0,0.0,
Net Income Continuous Operations,2768000000.0,2346000000.0,3400000000.0,2117000000.0,
Tax Provision,857000000.0,640000000.0,1005000000.0,425000000.0,
Pretax Income,3625000000.0,2986000000.0,4405000000.0,2542000000.0,
Other Income Expense,619000000.0,944000000.0,1370000000.0,656000000.0,
Other Non Operating Income Expenses,69000000.0,108000000.0,99000000.0,18000000.0,
Special Income Charges,-212000000.0,149000000.0,653000000.0,0.0,
Gain On Sale Of Business,0.0,149000000.0,129000000.0,0.0,
Other Special Charges,,,-534000000.0,,
Write Off,212000000.0,0.0,10000000.0,0.0,
Impairment Of Capital Assets,,,,0.0,2000000.0
Earnings From Equity Interest,760000000.0,560000000.0,589000000.0,637000000.0,
Gain On Sale Of Security,2000000.0,127000000.0,29000000.0,1000000.0,
Net Non Operating Interest Income Expense,-1402000000.0,-1297000000.0,-1157000000.0,-1132000000.0,
Interest Expense Non Operating,1442000000.0,1364000000.0,1236000000.0,1147000000.0,
Interest Income Non Operating,40000000.0,67000000.0,79000000.0,15000000.0,
Operating Income,4408000000.0,3339000000.0,4192000000.0,3018000000.0,
Operating Expense,2996000000.0,2827000000.0,2609000000.0,2481000000.0,
Other Operating Expenses,-7000000.0,-60000000.0,-40000000.0,28000000.0,
Selling General And Administration,721000000.0,708000000.0,665000000.0,636000000.0,
Gross Profit,7404000000.0,6166000000.0,6801000000.0,5499000000.0,
Cost Of Revenue,4546000000.0,4337000000.0,4106000000.0,5466000000.0,
Total Revenue,11950000000.0,10503000000.0,10907000000.0,10965000000.0,
Operating Revenue,11830000000.0,10753000000.0,9951000000.0,11352000000.0,
