,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Free Cash Flow,14923000000.0,12660000000.0,15120000000.0,11984000000.0,
Repurchase Of Capital Stock,-8088000000.0,-4494000000.0,-2779000000.0,-9920000000.0,
Repayment Of Debt,-2625000000.0,-3468000000.0,-4217000000.0,-2689000000.0,
Issuance Of Debt,3983000000.0,0.0,4967000000.0,5041000000.0,
Capital Expenditure,-26642000000.0,-23783000000.0,-20606000000.0,-16857000000.0,
Interest Paid Supplemental Data,2793000000.0,2739000000.0,2519000000.0,2051000000.0,
Income Tax Paid Supplemental Data,5364000000.0,5884000000.0,5879000000.0,3310000000.0,
End Cash Position,11321000000.0,9536000000.0,9935000000.0,8841000000.0,
Other Cash Adjustment Outside Changein Cash,,,0.0,0.0,1848000000.0
Beginning Cash Position,9536000000.0,9935000000.0,8841000000.0,14834000000.0,
Effect Of Exchange Rate Changes,123000000.0,-641000000.0,69000000.0,-73000000.0,
Changes In Cash,1662000000.0,242000000.0,1025000000.0,-5920000000.0,
Financing Cash Flow,-13553000000.0,-14822000000.0,-13414000000.0,-17039000000.0,
Cash Flow From Continuing Financing Activities,-13553000000.0,-14822000000.0,-13414000000.0,-17039000000.0,
Net Other Financing Charges,-2839000000.0,-2384000000.0,-5757000000.0,-3323000000.0,
Cash Dividends Paid,-7507000000.0,-6688000000.0,-6140000000.0,-6114000000.0,
Common Stock Dividend Paid,-7507000000.0,-6688000000.0,-6140000000.0,-6114000000.0,
Net Common Stock Issuance,-8088000000.0,-4494000000.0,-2779000000.0,-9920000000.0,
Common Stock Payments,-8088000000.0,-4494000000.0,-2779000000.0,-9920000000.0,
Net Issuance Payments Of Debt,4881000000.0,-1256000000.0,1262000000.0,2318000000.0,
Net Short Term Debt Issuance,3523000000.0,2212000000.0,512000000.0,-34000000.0,
Net Long Term Debt Issuance,1358000000.0,-3468000000.0,750000000.0,2352000000.0,
Long Term Debt Payments,-2625000000.0,-3468000000.0,-4217000000.0,-2689000000.0,
Long Term Debt Issuance,3983000000.0,0.0,4967000000.0,5041000000.0,
Investing Cash Flow,-26350000000.0,-21379000000.0,-21287000000.0,-17722000000.0,
Cash Flow From Continuing Investing Activities,-26350000000.0,-21379000000.0,-21287000000.0,-17722000000.0,
Net Other Investing Changes,-688000000.0,-212000000.0,-922000000.0,-295000000.0,
Net Investment Purchase And Sale,927000000.0,4080000000.0,0.0,0.0,
Sale Of Investment,927000000.0,4080000000.0,0.0,0.0,
Net Business Purchase And Sale,-53000000.0,-1896000000.0,-9000000.0,-740000000.0,
Sale Of Business,,,135000000.0,0.0,7935000000.0
Purchase Of Business,-53000000.0,-1896000000.0,-9000000.0,-740000000.0,
Net PPE Purchase And Sale,-26536000000.0,-23351000000.0,-20356000000.0,-16687000000.0,
Sale Of PPE,106000000.0,432000000.0,250000000.0,170000000.0,
Purchase Of PPE,-26642000000.0,-23783000000.0,-20606000000.0,-16857000000.0,
Operating Cash Flow,41565000000.0,36443000000.0,35726000000.0,28841000000.0,
Cash Flow From Continuing Operating Activities,41565000000.0,36443000000.0,35726000000.0,28841000000.0,
Change In Working Capital,752000000.0,181000000.0,1943000000.0,2553000000.0,
Change In Payables And Accrued Expense,3331000000.0,4042000000.0,723000000.0,2841000000.0,
Change In Accrued Expense,1607000000.0,379000000.0,-1324000000.0,4393000000.0,
Change In Payable,1724000000.0,3663000000.0,2047000000.0,-1552000000.0,
Change In Account Payable,1611000000.0,3228000000.0,2515000000.0,-1425000000.0,
Change In Tax Payable,113000000.0,435000000.0,-468000000.0,-127000000.0,
Change In Income Tax Payable,113000000.0,435000000.0,-468000000.0,-127000000.0,
Change In Inventory,-1443000000.0,-2755000000.0,2017000000.0,-528000000.0,
Change In Receivables,-1136000000.0,-1106000000.0,-797000000.0,240000000.0,
Other Non Cash Items,4079000000.0,2889000000.0,2642000000.0,1919000000.0,
Deferred Tax,2277000000.0,-635000000.0,-175000000.0,449000000.0,
Deferred Income Tax,2277000000.0,-635000000.0,-175000000.0,449000000.0,
Depreciation Amortization Depletion,14203000000.0,12973000000.0,11853000000.0,10945000000.0,
Depreciation And Amortization,14203000000.0,12973000000.0,11853000000.0,10945000000.0,
Operating Gains Losses,-2016000000.0,878000000.0,3193000000.0,1683000000.0,
Pension And Employee Benefit Expense,,,,,0.0
Gain Loss On Investment Securities,-2016000000.0,878000000.0,3193000000.0,1683000000.0,
Gain Loss On Sale Of PPE,,,,,2440000000.0
Gain Loss On Sale Of Business,,,0.0,0.0,433000000.0
Net Income From Continuing Operations,22270000000.0,20157000000.0,16270000000.0,11292000000.0,
