,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Mitsui Sumitomo Insurance Co Ltd,0.1349,50526511,3363044448,1.0
1,2025-12-31,Vanguard Group Inc,0.098900005,37033581,2464955060,0.0084
2,2025-12-31,Blackrock Inc.,0.0669,25060489,1668026086,0.0115
3,2025-12-31,State Street Corporation,0.0398,14916433,992837744,-0.00029999999
4,2025-12-31,Morgan Stanley,0.026199998,9798358,652178684,-0.17
5,2025-12-31,Kayne Anderson Rudnick Investment Management LLC,0.0233,8709181,579683066,-0.08270001
6,2025-12-31,"Geode Capital Management, LLC",0.0223,8348791,555695508,0.0005
7,2025-12-31,NORGES BANK,0.0166,6214380,413629117,0.2409
8,2025-12-31,Invesco Ltd.,0.013099999,4913337,327031698,0.0042
9,2025-12-31,Wells Fargo & Company,0.0107,3990309,265594957,0.0218
