,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,59640000.0,-2886000.0,6090000.0,-54280000.0,
Tax Rate For Calcs,0.21,0.074,0.105,0.184,
Normalized EBITDA,758000000.0,1237000000.0,1659000000.0,3350000000.0,
Total Unusual Items,284000000.0,-39000000.0,58000000.0,-295000000.0,
Total Unusual Items Excluding Goodwill,284000000.0,-39000000.0,58000000.0,-295000000.0,
Net Income From Continuing Operation Net Minority Interest,324000000.0,396000000.0,839000000.0,1880000000.0,
Reconciled Depreciation,509000000.0,502000000.0,500000000.0,480000000.0,
Reconciled Cost Of Revenue,5880000000.0,5811000000.0,5992000000.0,6564000000.0,
EBITDA,1042000000.0,1198000000.0,1717000000.0,3055000000.0,
EBIT,533000000.0,696000000.0,1217000000.0,2575000000.0,
Net Interest Income,-251000000.0,-216000000.0,-204000000.0,-245000000.0,
Interest Expense,273000000.0,269000000.0,280000000.0,270000000.0,
Interest Income,22000000.0,53000000.0,76000000.0,25000000.0,
Normalized Income,99640000.0,432114000.0,787090000.0,2120720000.0,
Net Income From Continuing And Discontinued Operation,324000000.0,396000000.0,839000000.0,1880000000.0,
Total Expenses,6458000000.0,6400000000.0,6546000000.0,7085000000.0,
Total Operating Income As Reported,731000000.0,685000000.0,1186000000.0,3080000000.0,
Diluted Average Shares,723567000.0,728957000.0,732222000.0,742953000.0,
Basic Average Shares,723162000.0,728398000.0,731654000.0,741904000.0,
Diluted EPS,0.45,0.54,1.15,2.53,
Basic EPS,0.45,0.54,1.15,2.53,
Diluted NI Availto Com Stockholders,324000000.0,396000000.0,839000000.0,1880000000.0,
Net Income Common Stockholders,324000000.0,396000000.0,839000000.0,1880000000.0,
Net Income,324000000.0,396000000.0,839000000.0,1880000000.0,
Net Income Including Noncontrolling Interests,324000000.0,396000000.0,839000000.0,1880000000.0,
Net Income Continuous Operations,324000000.0,396000000.0,839000000.0,1880000000.0,
Tax Provision,-64000000.0,31000000.0,98000000.0,425000000.0,
Pretax Income,260000000.0,427000000.0,937000000.0,2305000000.0,
Other Income Expense,64000000.0,-81000000.0,13000000.0,-549000000.0,
Other Non Operating Income Expenses,-220000000.0,-42000000.0,-45000000.0,-254000000.0,
Special Income Charges,284000000.0,-39000000.0,58000000.0,-305000000.0,
Gain On Sale Of Ppe,266000000.0,0.0,84000000.0,0.0,
Gain On Sale Of Business,29000000.0,,,,
Other Special Charges,11000000.0,29000000.0,26000000.0,294000000.0,
Restructuring And Mergern Acquisition,0.0,10000000.0,0.0,11000000.0,
Gain On Sale Of Security,,1000000.0,1000000.0,10000000.0,5000000.0
Net Non Operating Interest Income Expense,-251000000.0,-216000000.0,-204000000.0,-245000000.0,
Interest Expense Non Operating,273000000.0,269000000.0,280000000.0,270000000.0,
Interest Income Non Operating,22000000.0,53000000.0,76000000.0,25000000.0,
Operating Income,447000000.0,724000000.0,1128000000.0,3099000000.0,
Operating Expense,578000000.0,589000000.0,554000000.0,521000000.0,
Other Operating Expenses,28000000.0,14000000.0,29000000.0,24000000.0,
Research And Development,5000000.0,7000000.0,7000000.0,6000000.0,
Selling General And Administration,545000000.0,568000000.0,518000000.0,491000000.0,
Selling And Marketing Expense,92000000.0,88000000.0,87000000.0,93000000.0,
General And Administrative Expense,453000000.0,480000000.0,431000000.0,398000000.0,
Other Gand A,453000000.0,480000000.0,431000000.0,398000000.0,
Gross Profit,1025000000.0,1313000000.0,1682000000.0,3620000000.0,
Cost Of Revenue,5880000000.0,5811000000.0,5992000000.0,6564000000.0,
Total Revenue,6905000000.0,7124000000.0,7674000000.0,10184000000.0,
Operating Revenue,6905000000.0,7124000000.0,7674000000.0,10184000000.0,
