,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-8526862.103305,-6600171.130442,-1499389.187769,-4144294.0,-35280420.0,
Tax Rate For Calcs,0.153934,0.32251,0.120938,0.119,0.21,
Normalized EBITDA,515287000.0,520437000.0,407405000.0,440282000.0,763740000.0,
Total Unusual Items,-55393000.0,-20465000.0,-12398000.0,-34826000.0,-168002000.0,
Total Unusual Items Excluding Goodwill,-55393000.0,-20465000.0,-12398000.0,-34826000.0,-168002000.0,
Net Income From Continuing Operation Net Minority Interest,100028000.0,88341000.0,66218000.0,72747000.0,276972000.0,
Reconciled Depreciation,159477000.0,152828000.0,152907000.0,155421000.0,151284000.0,
Reconciled Cost Of Revenue,1110097000.0,1077447000.0,1011591000.0,981783000.0,1035519000.0,
EBITDA,459894000.0,499972000.0,395007000.0,405456000.0,595738000.0,
EBIT,300417000.0,347144000.0,242100000.0,250035000.0,444454000.0,
Net Interest Income,-141108000.0,-141618000.0,-139775000.0,-138249000.0,-140174000.0,
Interest Expense,155816000.0,157581000.0,154551000.0,157608000.0,163488000.0,
Interest Income,14708000.0,16581000.0,15859000.0,19359000.0,24557000.0,
Normalized Income,146894137.896695,102205828.869558,77116610.812231,103428706.0,409693580.0,
Net Income From Continuing And Discontinued Operation,100028000.0,88341000.0,66218000.0,72747000.0,276972000.0,
Total Expenses,1526926000.0,1515969000.0,1461911000.0,1426521000.0,1253502000.0,
Total Operating Income As Reported,274706000.0,310489000.0,264600000.0,268589000.0,366895000.0,
Diluted Average Shares,103861000.0,103636000.0,103780000.0,105730000.0,108652000.0,
Basic Average Shares,102930000.0,102909000.0,103491000.0,105492000.0,108199000.0,
Diluted EPS,0.82,0.85,0.64,0.69,2.29,
Basic EPS,0.97,0.86,0.64,0.69,2.56,
Diluted NI Availto Com Stockholders,100028000.0,88341000.0,66218000.0,72747000.0,255967000.0,
Average Dilution Earnings,0.0,0.0,0.0,0.0,-21005000.0,
Net Income Common Stockholders,100028000.0,88341000.0,66218000.0,72747000.0,276972000.0,
Net Income,100028000.0,88341000.0,66218000.0,72747000.0,276972000.0,
Minority Interests,-22314000.0,-40086000.0,-10743000.0,-8658000.0,-45388000.0,
Net Income Including Noncontrolling Interests,122342000.0,128427000.0,76961000.0,81405000.0,322360000.0,
Net Income Continuous Operations,122342000.0,128427000.0,76961000.0,81405000.0,322360000.0,
Tax Provision,22259000.0,61136000.0,10588000.0,11022000.0,-41394000.0,
Pretax Income,144601000.0,189563000.0,87549000.0,92427000.0,280966000.0,
Other Income Expense,-53348000.0,13403000.0,-48562000.0,-43200000.0,-164155000.0,
Other Non Operating Income Expenses,2045000.0,33868000.0,-36164000.0,-8374000.0,3847000.0,
Special Income Charges,-64351000.0,-7289000.0,-11286000.0,-5287000.0,-218400000.0,
Other Special Charges,37451000.0,7289000.0,11286000.0,5287000.0,222300000.0,
Impairment Of Capital Assets,,,,,0.0,0.0
Gain On Sale Of Security,8958000.0,-13176000.0,-1112000.0,-29539000.0,50398000.0,
Net Non Operating Interest Income Expense,-141108000.0,-141618000.0,-139775000.0,-138249000.0,-140174000.0,
Total Other Finance Cost,0.0,618000.0,1083000.0,,1243000.0,109000.0
Interest Expense Non Operating,155816000.0,157581000.0,154551000.0,157608000.0,163488000.0,
Interest Income Non Operating,14708000.0,16581000.0,15859000.0,19359000.0,24557000.0,
Operating Income,339057000.0,317778000.0,275886000.0,273876000.0,585295000.0,
Operating Expense,416829000.0,438522000.0,450320000.0,444738000.0,217983000.0,
Other Operating Expenses,,6154000.0,13245000.0,12232000.0,,150475000.0
Provision For Doubtful Accounts,3570000.0,4505000.0,3353000.0,1396000.0,634000.0,
Depreciation Amortization Depletion Income Statement,159477000.0,152828000.0,152907000.0,155421000.0,151284000.0,
Depreciation And Amortization In Income Statement,159477000.0,152828000.0,152907000.0,155421000.0,151284000.0,
Selling General And Administration,285413000.0,275035000.0,280815000.0,275689000.0,272303000.0,
General And Administrative Expense,285413000.0,275035000.0,280815000.0,275689000.0,272303000.0,
Other Gand A,285413000.0,275035000.0,280815000.0,275689000.0,272303000.0,
Gross Profit,755886000.0,756300000.0,726206000.0,718614000.0,803278000.0,
Cost Of Revenue,1110097000.0,1077447000.0,1011591000.0,981783000.0,1035519000.0,
Total Revenue,1865983000.0,1833747000.0,1737797000.0,1700397000.0,1838797000.0,
Operating Revenue,1865983000.0,1833747000.0,1737797000.0,1700397000.0,1838797000.0,
