,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Capital World Investors,0.0917,9542392,962350218,0.0064999997
1,2025-12-31,Vanguard Group Inc,0.0865,9002788,907931156,-0.0061000003
2,2025-12-31,Blackrock Inc.,0.052800003,5491066,553773997,0.059
3,2025-12-31,"Barrow, Hanley Mewhinney & Strauss, LLC",0.0354,3680631,371191630,0.0954
4,2025-12-31,State Street Corporation,0.029000001,3015953,304158855,-0.00059999997
5,2025-12-31,"Geode Capital Management, LLC",0.0211,2197108,221578338,-0.0089
6,2025-12-31,Egerton Capital (UK) LLP,0.0199,2069751,208734385,1.0
7,2025-12-31,Invesco Ltd.,0.019299999,2011462,202855939,0.1417
8,2025-12-31,Morgan Stanley,0.0147,1525140,153810366,-0.1451
9,2025-12-31,"Neuberger Berman Group, LLC",0.013099999,1360763,137232946,0.2959
