,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3150000.0,35280000.0,-3360000.0,15750000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,
Normalized EBITDA,6213000000.0,5423000000.0,5212000000.0,5005000000.0,
Total Unusual Items,-15000000.0,168000000.0,-16000000.0,75000000.0,
Total Unusual Items Excluding Goodwill,-15000000.0,168000000.0,-16000000.0,75000000.0,
Net Income From Continuing Operation Net Minority Interest,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Reconciled Depreciation,3082000000.0,2875000000.0,2567000000.0,2554000000.0,
Reconciled Cost Of Revenue,7616000000.0,7162000000.0,8108000000.0,9309000000.0,
EBITDA,6198000000.0,5591000000.0,5196000000.0,5080000000.0,
EBIT,3116000000.0,2716000000.0,2629000000.0,2526000000.0,
Net Interest Income,-1343000000.0,-1182000000.0,-1004000000.0,-925000000.0,
Interest Expense,1343000000.0,1182000000.0,1004000000.0,925000000.0,
Normalized Income,2029850000.0,1803280000.0,1783640000.0,1676750000.0,
Net Income From Continuing And Discontinued Operation,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Total Expenses,11790000000.0,11055000000.0,11618000000.0,12882000000.0,
Total Operating Income As Reported,2583000000.0,2386000000.0,2481000000.0,2428000000.0,
Diluted Average Shares,589000000.0,563000000.0,552000000.0,547000000.0,
Basic Average Shares,587000000.0,563000000.0,552000000.0,547000000.0,
Diluted EPS,3.42,3.44,3.21,3.17,
Basic EPS,3.44,3.44,3.21,3.18,
Diluted NI Availto Com Stockholders,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Net Income Common Stockholders,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Net Income,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Net Income Including Noncontrolling Interests,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Net Income Continuous Operations,2018000000.0,1936000000.0,1771000000.0,1736000000.0,
Tax Provision,-245000000.0,-402000000.0,-146000000.0,-135000000.0,
Pretax Income,1773000000.0,1534000000.0,1625000000.0,1601000000.0,
Other Income Expense,237000000.0,330000000.0,41000000.0,98000000.0,
Other Non Operating Income Expenses,235000000.0,143000000.0,22000000.0,-13000000.0,
Special Income Charges,-15000000.0,168000000.0,-16000000.0,75000000.0,
Other Special Charges,15000000.0,-168000000.0,-56000000.0,-75000000.0,
Restructuring And Mergern Acquisition,0.0,0.0,72000000.0,0.0,
Earnings From Equity Interest,17000000.0,19000000.0,35000000.0,36000000.0,
Net Non Operating Interest Income Expense,-1343000000.0,-1182000000.0,-1004000000.0,-925000000.0,
Total Other Finance Cost,,,,31000000.0,29000000.0
Interest Expense Non Operating,1343000000.0,1182000000.0,1004000000.0,925000000.0,
Operating Income,2879000000.0,2386000000.0,2588000000.0,2428000000.0,
Operating Expense,4045000000.0,3762000000.0,3391000000.0,3432000000.0,
Other Operating Expenses,406000000.0,394000000.0,286000000.0,331000000.0,
Other Taxes,686000000.0,624000000.0,657000000.0,688000000.0,
Depreciation Amortization Depletion Income Statement,2953000000.0,2744000000.0,2448000000.0,2413000000.0,
Depreciation And Amortization In Income Statement,2953000000.0,2744000000.0,2448000000.0,2413000000.0,
Gross Profit,6924000000.0,6148000000.0,5979000000.0,5860000000.0,
Cost Of Revenue,7745000000.0,7293000000.0,8227000000.0,9450000000.0,
Total Revenue,14669000000.0,13441000000.0,14206000000.0,15310000000.0,
Operating Revenue,14612000000.0,13377000000.0,14091000000.0,15203000000.0,
