contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
YUM260417C00105000,2026-02-19 20:57:26+00:00,105.0,58.4,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
YUM260417C00130000,2026-04-01 14:03:17+00:00,130.0,24.81,25.9,28.9,0.0,0.0,,0,0.7128934960937501,True,REGULAR,USD
YUM260417C00135000,2026-01-29 17:27:39+00:00,135.0,22.7,24.8,27.5,0.0,0.0,1.0,2,1.210697305908203,True,REGULAR,USD
YUM260417C00140000,2026-04-01 14:03:17+00:00,140.0,15.11,16.6,19.1,0.0,0.0,15.0,8,0.577152666015625,True,REGULAR,USD
YUM260417C00145000,2026-03-10 14:44:02+00:00,145.0,14.85,11.8,14.2,0.0,0.0,1.0,28,0.6330603100585939,True,REGULAR,USD
YUM260417C00150000,2026-04-07 13:52:30+00:00,150.0,8.2,6.6,9.0,2.5899997,46.167553,1.0,41,0.44946839599609373,True,REGULAR,USD
YUM260417C00155000,2026-04-06 18:47:36+00:00,155.0,4.3,3.7,4.3,0.0,0.0,12.0,93,0.301764794921875,True,REGULAR,USD
YUM260417C00160000,2026-04-07 13:32:44+00:00,160.0,1.37,1.25,1.4,-0.18999994,-12.179484,4.0,337,0.24292749267578123,False,REGULAR,USD
YUM260417C00165000,2026-04-06 16:27:11+00:00,165.0,0.45,0.2,0.4,0.0,0.0,4.0,245,0.24536887451171874,False,REGULAR,USD
YUM260417C00170000,2026-04-06 17:36:39+00:00,170.0,0.18,0.1,0.75,0.0,0.0,42.0,345,0.40869731933593745,False,REGULAR,USD
YUM260417C00175000,2026-03-31 15:45:28+00:00,175.0,0.14,0.0,0.75,0.0,0.0,152.0,215,0.5063525927734375,False,REGULAR,USD
YUM260417C00180000,2026-03-17 16:20:38+00:00,180.0,0.3,0.0,0.75,0.0,0.0,24.0,92,0.5063525927734375,False,REGULAR,USD
YUM260417C00185000,2026-02-27 15:35:03+00:00,185.0,0.5,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD
YUM260417C00200000,2025-12-05 19:07:09+00:00,200.0,0.34,0.0,2.25,0.0,0.0,1.0,0,0.999023447265625,False,REGULAR,USD
