,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Total Stock Market Index Fund,0.0322,1585953,338014170,-0.0099
1,2025-12-31,VANGUARD INDEX FUNDS-Vanguard 500 Index Fund,0.025999999,1278987,272590505,0.0202
2,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Index Fund,0.0234,1148697,244821797,-0.0468
3,2026-01-31,John Hancock Funds III-Disciplined Value Mid Cap Fund,0.0156,769281,163956863,0.14109999
4,2025-12-31,VANGUARD INDEX FUNDS-Vanguard Small-Cap Value Index Fund,0.0150999995,741234,157979206,-0.039
5,2025-11-30,VANGUARD WORLD FUND-Vanguard Information Technology Index Fund,0.014099999,694751,148072284,0.18180001
6,2026-01-31,iShares Trust-iShares Core S&P 500 ETF,0.013200001,651177,138785357,-0.0106
7,2026-02-28,Fidelity Concord Street Trust-Fidelity 500 Index Fund,0.013099999,644713,137407684,0.0017
8,2026-02-28,SPDR S&P 500 ETF TRUST-State Street SPDR S&P 500 ETF Trust,0.0121,596662,127166574,-0.0187
9,2026-01-31,Invesco Exchange-Traded Fund Trust-Invesco S&P 500 Equal Weight ETF,0.0119,587524,125218992,0.0582
