,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,Vanguard Group Inc,0.113199994,47780974,5612831074,0.1294
1,2025-12-31,Blackrock Inc.,0.0885,37350823,4387601223,0.0318
2,2025-12-31,State Street Corporation,0.0469,19796891,2325540809,0.0076
3,2025-12-31,State Farm Mutual Automobile Insurance Co,0.0376,15892903,1866939334,0.0
4,2025-12-31,Morgan Stanley,0.0366,15465506,1816733008,-0.0872
5,2025-12-31,"Wellington Management Group, LLP",0.027,11394986,1338569019,0.3341
6,2025-12-31,"Geode Capital Management, LLC",0.026800001,11327679,1330662465,0.017
7,2025-12-31,NORGES BANK,0.0138,5837110,685685318,0.1245
8,2025-12-31,Northern Trust Corporation,0.0136,5748617,675290046,-0.0424
9,2025-12-31,"Polen Capital Management, LLC",0.013200001,5562669,653446734,-0.26
